,Population,Stock,Stock per capita,Stock change,Inflow,Outflow,Stock AB,Stock MFH,Stock SFH,Stock TH
1848,16614050.545259945,2917983.513316069,0.1756334799492097,36141.5970251034,,,0.0,266045.6308217374,141359.48267717622,2510578.399817155
1849,16825757.882501774,2954781.9846158046,0.17561063253434064,36798.47129973583,,,0.0,270053.510244292,145982.12039742604,2538746.3539740867
1850,17039098.753200874,2992247.828383922,0.17561068644090197,37465.843768117484,,,0.0,274174.22969327774,150747.62461576975,2567325.9740748745
1851,17254058.801601157,3030391.6548290006,0.17563355322214294,38143.82644507848,,,0.0,278410.5814514885,155659.96950584438,2596321.1038716678
1852,17470622.94923175,3069224.1850961735,0.1756791497369668,38832.53026717296,,,0.0,282765.427724242,160723.23107035717,2625735.5263015744
1853,17688775.392520897,3108756.2500710166,0.17574739805817477,39532.06497484306,,,0.0,287241.7020044587,165941.5891053072,2655572.9589612507
1854,17908499.600999635,3148998.7890613284,0.1758382253801739,40242.53899031179,,,0.0,291842.410447048,171319.3291753182,2685837.0494389622
1855,18129778.316109784,3189962.8483525226,0.175951563926073,40964.05929119419,,,0.0,296570.63325138047,176860.84459881915,2716531.370502323
1856,18352593.5506301,3231659.5796322236,0.1760873508540852,41696.731279700994,,,0.0,301429.5260512517,182570.63844168597,2747659.415139286
1857,18576926.588733755,3274100.238279662,0.1762455281631617,42440.65864743851,,,0.0,306422.32131104515,188453.3255176283,2779224.591450989
1858,18802757.98668961,3317296.181515364,0.17642604259777547,43195.94323570188,,,0.0,311552.3297272702,194513.63439389196,2811230.217394202
1859,19030067.574218865,3361258.866406578,0.17662884555177671,43962.68489121413,,,0.0,316822.94163426943,200756.4094004993,2843679.5153718092
1860,19258834.456517998,3405999.8477238975,0.1768538929712418,44740.98131731944,,,0.0,322237.6284128913,207186.61264123893,2876575.6066697673
1861,19489037.016957782,3451530.775644384,0.17710114525623513,45530.92792048631,,,0.0,327799.94390098704,213809.3260045248,2909921.505738872
1862,19720652.920467567,3497863.3932965863,0.17737056716140684,46332.61765220249,,,0.0,333513.52580428525,220629.75317200166,2943720.1143202996
1863,19953659.117612753,3545009.534142705,0.17766212769534515,47146.1408461188,,,0.0,339382.0971064553,227653.221623108,2977974.215413142
1864,20188031.849372596,3592981.1191932224,0.17797580001860783,47971.58505051723,,,0.0,345409.467476727,234885.1846330245,3012686.467083471
1865,20423746.652624335,3641790.154049218,0.17831156134035128,48809.03485599579,,,0.0,351599.5346736591,242331.22326195883,3047859.3961136006
1866,20660778.366338637,3691448.7257676604,0.17866939281348257,49658.571718442254,,,0.0,357956.2859434574,249997.0483333216,3083495.3914908813
1867,20899101.138490144,3741968.9995448776,0.1790492794282547,50520.27377721714,,,0.0,364483.7994110993,257888.5023981415,3119596.6977356365
1868,21138688.433685906,3793363.215213503,0.1794512099042307,51394.215668625664,,,0.0,371186.2454626476,266011.56168328604,3156165.4080675696
1869,21379513.041513212,3845643.6835481278,0.17987517658053911,52280.468334624544,,,0.0,378067.8881168869,274372.33802053716,3193203.457410704
1870,21621547.085607186,3898822.7823749594,0.1803211753043467,53179.09882683167,,,0.0,385133.0863842367,282977.0807538555,3230712.615236867
1871,21864762.033437226,3952912.9524808354,0.18078920531747594,54090.170105875935,,,0.0,392386.29561119253,291832.1786217102,3268694.4782479326
