DSM,SFH,MFH,TH,AB
1743,0.05871029478249324,0.11510500340791947,0.8261847018095873,0.0
1744,0.057964160716783814,0.11427743799164852,0.8277584012915676,0.0
1745,0.057232186888116224,0.11346059764761796,0.8293072154642658,0.0
1746,0.05651437314059561,0.11265448129143069,0.8308311455679737,0.0
1747,0.055810719422559725,0.11185908791742169,0.8323301926600186,0.0
1748,0.055121225786632165,0.11107441659862707,0.8338043576147408,0.0
1749,0.05444589238973363,0.11030046648685057,0.8352536411234158,0.0
1750,0.05378471949314781,0.10953723681263587,0.8366780436942163,0.0
1751,0.05313770746251881,0.10878472688529368,0.8380775656521875,0.0
1752,0.052504856767927696,0.10804293609293907,0.8394522071391333,0.0
1753,0.05188616798390708,0.1073118639024786,0.8408019681136143,0.0
1754,0.05128164178949716,0.106591509859654,0.8421268483508488,0.0
1755,0.050691278968289774,0.10588187358906244,0.8434268474426478,0.0
1756,0.05011508040846504,0.10518295479415637,0.8447019647973786,0.0
1757,0.04955304710285467,0.10449475325730838,0.8459521996398369,0.0
1758,0.04900518014897419,0.10381726883979694,0.8471775510112288,0.0
1759,0.04847148074910337,0.10315050148185895,0.8483780177690377,0.0
1760,0.04795195021030303,0.10249445120271984,0.8495535985869771,0.0
1761,0.04744658994450901,0.10184911810059867,0.8507042919548923,0.0
1762,0.04695540146856025,0.10121450235278046,0.8518300961786593,0.0
1763,0.04647838640428861,0.10059060421560423,0.8529310093801071,0.0
1764,0.04601554647854815,0.09997742402454343,0.8540070294969084,0.0
1765,0.04556688352330426,0.09937496219420548,0.8550581542824902,0.0
1766,0.04513239947569027,0.09878321921838829,0.8560843813059215,0.0
1767,0.04471209637807796,0.09820219567012463,0.8570857079517974,0.0
1768,0.04430597637815415,0.09763189220169774,0.8580621314201481,0.0
1769,0.043914041728968005,0.09707230954472068,0.8590136487263114,0.0
1770,0.04353629478904097,0.0965234485101444,0.8599402567008146,0.0
1771,0.04317273802241435,0.09598530998832587,0.8608419519892598,0.0
1772,0.04282337399874121,0.09545789494907113,0.8617187310521877,0.0
1773,0.0424882053933665,0.09494120444167688,0.8625705901649566,0.0
1774,0.04216723498740007,0.09443523959498328,0.8633975254176166,0.0
1775,0.041860465667809446,0.09394000161743188,0.8641995327147587,0.0
1776,0.041567900427506375,0.09345549179710909,0.8649766077753845,0.0
1777,0.041289542365426285,0.09298171150180103,0.8657287461327727,0.0
1778,0.041025394686628684,0.09251866217906564,0.8664559431343056,0.0
1779,0.04077546070237609,0.09206634535626475,0.8671581939413592,0.0
1780,0.040539743830245625,0.09162476264064305,0.8678354935291113,0.0
1781,0.040318247594220404,0.09119391571937605,0.8684878366864035,0.0
1782,0.04011097562476622,0.09077380635964453,0.8691152180155892,0.0
1783,0.03991793165896942,0.09036443640868264,0.869717631932348,0.0
1784,0.03973911954059835,0.08996580779386236,0.8702950726655393,0.0
1785,0.03957454322024523,0.08957792252273078,0.870847534257024,0.0
1786,0.039424206755401904,0.0892007826831143,0.8713750105614838,0.0
1787,0.0392881143105984,0.0888343904431615,0.8718774952462401,0.0
1788,0.039166270157476465,0.08847874805142074,0.8723549817911028,0.0
1789,0.03905867867493926,0.08813385783692075,0.87280746348814,0.0
1790,0.03896534434923883,0.08779972220923273,0.8732349334415285,0.0
1791,0.03888627177410909,0.08747634365856102,0.8736373845673299,0.0
1792,0.03882146565087187,0.08716372475579554,0.8740148095933326,0.0
1793,0.03877093078856706,0.0868618681526264,0.8743672010588065,0.0
1794,0.03873467210407609,0.08657077658158753,0.8746945513143364,0.0
1795,0.038712694622232764,0.08629045285616255,0.8749968525216046,0.0
1796,0.03870500347597693,0.08602089987086213,0.8752740966531609,0.0
1797,0.0387116039064479,0.08576212060130449,0.8755262754922476,0.0
1798,0.038732501263151004,0.0855141181043128,0.8757533806325362,0.0
1799,0.03876770100406545,0.08527689551798082,0.8759554034779538,0.0
1800,0.03881720869579478,0.08505045606179243,0.8761323352424127,0.0
1801,0.03888103001368931,0.08483480303669699,0.8762841669496138,0.0
1802,0.038959170742012085,0.08462993982518854,0.8764108894327993,0.0
1803,0.03905163677404287,0.08443586989143277,0.8765124933345244,0.0
1804,0.03915843411225951,0.08425259678133681,0.8765889691064037,0.0
1805,0.03927956886845785,0.0840801241226543,0.8766403070088878,0.0
1806,0.03941504726391203,0.08391845562509108,0.8766664971109969,0.0
1807,0.039564875629525355,0.08376759508039336,0.8766675292900813,0.0
1808,0.03972906040597291,0.08362754636246542,0.8766433932315617,0.0
1809,0.03990760814386937,0.08349831342745802,0.8765940784286727,0.0
1810,0.04010052550391188,0.08337990031389166,0.8765195741821965,0.0
1811,0.04030781925704992,0.08327231114273687,0.8764198696002132,0.0
1812,0.04052949628464277,0.08317555011755759,0.8762949535977996,0.0
1813,0.04076556357862507,0.08308962152459816,0.8761448148967768,0.0
1814,0.04101602824166432,0.08301452973289013,0.8759694420254456,0.0
1815,0.041280897487340734,0.08295027919439364,0.8757688233182657,0.0
1816,0.041560178640299816,0.08289687444408522,0.875542946915615,0.0
1817,0.041853879136452506,0.08285432010009249,0.875291800763455,0.0
1818,0.04216200652311165,0.08282262086380349,0.8750153726130848,0.0
1819,0.042484568459203516,0.08280178151998706,0.8747136500208095,0.0
1820,0.04282157271543382,0.08279180693692441,0.8743866203476418,0.0
1821,0.043173027174451935,0.08279270206651283,0.8740342707590353,0.0
1822,0.043538939831064626,0.08280447194441737,0.873656588224518,0.0
1823,0.04391931879239731,0.0828271216901805,0.8732535595174222,0.0
1824,0.04431417227809295,0.08286065650734871,0.8728251712145584,0.0
1825,0.044723508620503394,0.08290508168361604,0.8723714096958806,0.0
1826,0.04514733626487234,0.08296040259094402,0.8718922611441836,0.0
1827,0.04558566376953739,0.08302662468570388,0.8713877115447587,0.0
1828,0.046038499806129764,0.0831037535088032,0.8708577466850671,0.0
1829,0.04650585315976151,0.08319179468583436,0.8703023521544041,0.0
1830,0.046987732729240825,0.08329075392720259,0.8697215133435566,0.0
1831,0.047484147527260455,0.0834006370282702,0.8691152154444693,0.0
1832,0.04799510668062417,0.08352144986950565,0.8684834434498702,0.0
1833,0.048520619430435126,0.08365319841660725,0.8678261821529576,0.0
1834,0.04906069513232185,0.08379588872067634,0.8671434161470019,0.0
1835,0.049615343256636274,0.08394952691835599,0.8664351298250077,0.0
1836,0.05018457338868329,0.08411411923195121,0.8657013073793655,0.0
